filename;arith;base
bakery.cub;2;2
bakery_lamport_bogus.cub;754;819
bakery_lamport.cub;373;401
bakery_lamport_na.cub;TO;TO
bakery_lamport_na_wb.cub;TO;TO
bakery_na.cub;51;51
bakery_uguard.cub;2;2
berkeley.cub;3;3
burns.cub;159;159
chandra_toueg.cub;TO;TO
crash.cub;7166;5748
dekker.cub;3;3
dekker_limbo.cub;4;4
dekker_loc.cub;3;3
dekker_n.cub;28;24
dijkstra.cub;233;52
distrib_channels.cub;ParseError;3901
distrib_channels_int1.cub;ParseError;6660
distrib_lamport.cub;ParseError;TO
flash_abstr.cub;TO;TO
flash_buggy2.cub;TO;TO
flash_buggy.cub;TO;TO
flash.cub;TO;TO
flash_delayed.cub;1;1
flash_eager.cub;1;1
flash_enum.cub;TO;TO
flash_enum_simpl.cub;TO;TO
flash_home.cub;TO;TO
flash_nodata.cub;TO;TO
futurebus.cub;41;41
german_baukus.cub;143520;50631
german.ctc.cub;TO;426255
german.ctc_finite.cub;508333;153789
german.ctc_function.cub;ParseError;426255
german.ctc_nodata.cub;160011;59438
german.cub;143520;50631
german_data.cub;TO;252045
germanish2.cub;986;359
germanish3.cub;10928;5223
germanish4.cub;38068;16425
germanish5.cub;12458;6594
germanish6.cub;28767;14294
germanish_arith.cub;924;631
germanish.cub;198;84
germanish_data.cub;965;405
german_pfs2.cub;TO;TO
german_pfs.cub;TO;TO
german_pfs_data.cub;TO;TO
german_pfs_data_enum.cub;TO;TO
german_subtype.cub;ParseError;ParseError
german_undip.cub;1821;751
illinois.cub;9;9
jml.cub;73;42
mesi.cub;3;3
moesi.cub;3;3
motivating.cub;172;82
mutex.cub;3;3
mux_sem.cub;7;7
peterson_two_proc.cub;29;29
ricart_abdulla.cub;ParseError;51859
ricart_abdulla_int1.cub;TO;TO
ricart_abdulla_int.cub;ParseError;51859
ricart_agrawala.cub;ParseError;TO
ricart_agrawala_int1.cub;ParseError;TO
sense_barrier.cub;4451;4493
swimming_pool.cub;TO;3155
synapse.cub;2;2
szymanski_at.cub;TO;TO
szymanski_boleslaw_bool_at.cub;TO;TO
szymanski_boleslaw_bool_na.cub;TO;TO
szymanski_na2.cub;TO;TO
szymanski_na.cub;TO;TO
szymanski_talupur_at.cub;33;33
two-semaphores.cub;0;0
xerox_dragon.cub;7;7
