filename;arith;base
bakery.cub;2;2
bakery_lamport_bogus.cub;73;74
bakery_lamport.cub;55;53
bakery_lamport_na.cub;TO;TO
bakery_lamport_na_wb.cub;TO;TO
bakery_na.cub;30;30
bakery_uguard.cub;2;2
berkeley.cub;3;3
burns.cub;45;45
chandra_toueg.cub;TO;TO
crash.cub;118;118
dekker.cub;3;3
dekker_limbo.cub;4;4
dekker_loc.cub;3;3
dekker_n.cub;17;17
dijkstra.cub;28;28
distrib_channels.cub;ParseError;1016
distrib_channels_int1.cub;ParseError;1399
distrib_lamport.cub;ParseError;TO
flash_abstr.cub;TO;TO
flash_buggy2.cub;TO;TO
flash_buggy.cub;TO;TO
flash.cub;TO;TO
flash_delayed.cub;1;1
flash_eager.cub;1;1
flash_enum.cub;TO;TO
flash_enum_simpl.cub;TO;TO
flash_home.cub;TO;TO
flash_nodata.cub;TO;TO
futurebus.cub;40;40
german_baukus.cub;2384;2384
german.ctc.cub;4325;4325
german.ctc_finite.cub;3289;3289
german.ctc_function.cub;ParseError;4325
german.ctc_nodata.cub;2345;2345
german.cub;2384;2384
german_data.cub;5063;5066
germanish2.cub;50;50
germanish3.cub;314;314
germanish4.cub;677;677
germanish5.cub;503;503
germanish6.cub;522;522
germanish_arith.cub;19;19
germanish.cub;19;19
germanish_data.cub;36;36
german_pfs2.cub;TO;TO
german_pfs.cub;TO;TO
german_pfs_data.cub;TO;TO
german_pfs_data_enum.cub;TO;TO
german_subtype.cub;ParseError;ParseError
german_undip.cub;73;73
illinois.cub;9;9
jml.cub;22;22
mesi.cub;3;3
moesi.cub;3;3
motivating2.cub;3;3
motivating.cub;15;15
mutex.cub;3;3
mux_sem.cub;7;7
peterson_two_proc.cub;18;18
ricart_abdulla.cub;ParseError;284
ricart_abdulla_int1.cub;TO;TO
ricart_abdulla_int.cub;ParseError;284
ricart_agrawala.cub;ParseError
