File;Result (Arith);Result (Base);Time (Arith);Time (Base);Nodes (Arith);Nodes (Base);Solver Calls (Arith);Solver Calls (Base)
bakery;Safe;Safe;0.01;0.01;2;2;2;2
bakery_lamport;Safe;Safe;0.04;0.05;40;53;214;401
bakery_lamport_bogus;Unsafe;Unsafe;0.11;0.11;69;74;743;819
bakery_lamport_na;Timeout;Timeout;;;;;;
bakery_lamport_na_wb;Timeout;Timeout;;;;;;
bakery_na;Safe;Safe;0.05;0.04;30;30;51;51
bakery_uguard;Safe;Safe;0.01;0.01;2;2;2;2
berkeley;Safe;Safe;0.01;0.01;3;3;3;3
burns;Safe;Safe;0.07;0.07;45;45;159;159
chandra_toueg;Timeout;Timeout;;;;;;
crash;Safe;Safe;1.35;1.31;118;118;5748;5748
dekker;Safe;Safe;0.01;0.01;3;3;3;3
dekker_limbo;Safe;Safe;0.01;0.01;4;4;4;4
dekker_loc;Safe;Safe;0.01;0.01;3;3;3;3
dekker_n;Safe;Safe;0.02;0.02;17;17;24;24
dijkstra;Safe;Safe;0.03;0.03;28;28;52;52
distrib_channels;Timeout;Type Error;;;;;;
distrib_channels_int1;Unsafe;Type Error;13.78;;1542;;9236;
distrib_lamport;Timeout;Type Error;;;;;;
flash;Timeout;Timeout;;;;;;
flash_abstr;Timeout;Timeout;;;;;;
flash_buggy;Timeout;Timeout;;;;;;
flash_buggy2;Timeout;Timeout;;;;;;
flash_delayed;Safe;Safe;0.01;0.01;1;1;1;1
flash_eager;Safe;Safe;0.01;0.01;1;1;1;1
flash_enum;Timeout;Timeout;;;;;;
flash_enum_simpl;Timeout;Timeout;;;;;;
flash_home;Timeout;Timeout;;;;;;
flash_nodata;Timeout;Timeout;;;;;;
futurebus;Unsafe;Unsafe;0.03;0.03;40;40;41;41
german;Safe;Safe;15.29;14.44;2384;2384;50631;50631
german.ctc;Timeout;Timeout;;;;;;
german.ctc_finite;Safe;Safe;41.35;39.33;3289;3289;153789;153789
german.ctc_function;Type Error;Unsafe;;0.01;;0;;1
german.ctc_nodata;Safe;Safe;15.99;14.39;2345;2345;59438;59438
german_baukus;Safe;Safe;16.67;16.31;2384;2384;50631;50631
german_data;Timeout;Timeout;;;;;;
german_pfs;Timeout;Timeout;;;;;;
german_pfs2;Timeout;Timeout;;;;;;
german_pfs_data;Timeout;Timeout;;;;;;
german_pfs_data_enum;Timeout;Timeout;;;;;;
german_subtype;Type Error;Type Error;;;;;;
german_undip;Safe;Safe;0.14;0.14;73;73;751;751
germanish;Safe;Safe;0.02;0.01;19;19;84;84
germanish2;Safe;Safe;0.06;0.06;50;50;359;359
germanish3;Safe;Safe;0.62;0.55;314;314;5223;5223
germanish4;Safe;Safe;1.7;1.57;677;677;16425;16425
germanish5;Safe;Safe;1.16;1.07;503;503;6594;6594
germanish6;Unsafe;Unsafe;1.87;1.48;522;522;14294;14294
germanish_arith;Safe;Safe;0.17;0.17;19;19;631;631
germanish_data;Safe;Safe;0.06;0.05;36;36;433;405
illinois;Safe;Safe;0.02;0.02;9;9;9;9
jml;Safe;Safe;0.02;0.02;22;22;33;42
mesi;Safe;Safe;0.01;0.01;3;3;3;3
moesi;Safe;Safe;0.01;0.01;3;3;3;3
motivating;Safe;Safe;0.02;0.02;15;15;82;82
motivating2;Safe;Safe;0.01;0.01;3;3;7;7
mutex;Safe;Safe;0.01;0.01;3;3;3;3
mux_sem;Safe;Safe;0.01;0.01;7;7;7;7
peterson_two_proc;Safe;Safe;0.01;0.01;18;18;29;29
ricart_abdulla;Unsafe;Type Error;0.32;;200;;601;
ricart_abdulla_int;Unsafe;Type Error;0.39;;200;;601;
ricart_abdulla_int1;Unsafe;Timeout;0.36;;200;;601;
ricart_agrawala;Timeout;Type Error;;;;;;
ricart_agrawala_int1;Timeout;Type Error;;;;;;
sense_barrier;Safe;Safe;1.57;1.01;194;203;4760;4493
swimming_pool;Unsafe;Unsafe;0.42;0.26;79;79;3176;3155
synapse;Safe;Safe;0.01;0.01;2;2;2;2
szymanski_at;Timeout;Timeout;;;;;;
szymanski_boleslaw_bool_at;Timeout;Timeout;;;;;;
szymanski_boleslaw_bool_na;Timeout;Timeout;;;;;;
szymanski_na;Timeout;Timeout;;;;;;
szymanski_na2;Timeout;Timeout;;;;;;
szymanski_talupur_at;Safe;Safe;0.02;0.02;7;7;33;33
two-semaphores;Safe;Safe;0.01;0.01;0;0;0;0
xerox_dragon;Safe;Safe;0.01;0.01;7;7;7;7
