filename;arith;base
bakery.cub;0.01;0.01
bakery_lamport_bogus.cub;0.07;0.07
bakery_lamport.cub;0.04;0.04
bakery_lamport_na.cub;0.83;TO
bakery_lamport_na_wb.cub;TO;TO
bakery_na.cub;0.04;0.03
bakery_uguard.cub;0.01;0.01
berkeley.cub;0.01;0.00
burns.cub;0.06;0.04
chandra_toueg.cub;TO;TO
crash.cub;1.61;0.78
dekker.cub;0.01;0.01
dekker_limbo.cub;0.01;0.01
dekker_loc.cub;0.01;0.01
dekker_n.cub;0.01;0.01
dijkstra.cub;0.02;0.05
distrib_channels.cub;ParseError;TO
distrib_channels_int1.cub;ParseError;TO
distrib_lamport.cub;ParseError;TO
flash_abstr.cub;TO;TO
flash_buggy2.cub;TO;TO
flash_buggy.cub;TO;TO
flash.cub;TO;TO
flash_delayed.cub;0.01;0.01
flash_eager.cub;0.00;0.01
flash_enum.cub;TO;TO
flash_enum_simpl.cub;TO;TO
flash_home.cub;TO;TO
flash_nodata.cub;TO;TO
futurebus.cub;0.07;0.02
german_baukus.cub;TO;TO
german.ctc.cub;TO;TO
german.ctc_finite.cub;TO;TO
german.ctc_function.cub;ParseError;TO
german.ctc_nodata.cub;TO;TO
german.cub;TO;TO
german_data.cub;TO;TO
germanish2.cub;0.10;0.04
germanish3.cub;1.40;0.32
germanish4.cub;TO;0.98
germanish5.cub;TO;0.50
germanish6.cub;TO;0.68
germanish_arith.cub;0.11;0.11
germanish.cub;0.02;0.01
germanish_data.cub;0.09;0.03
german_pfs2.cub;TO;TO
german_pfs.cub;TO;TO
german_pfs_data.cub;TO;TO
german_pfs_data_enum.cub;TO;TO
german_subtype.cub;ParseError;ParseError
german_undip.cub;0.18;0.08
illinois.cub;0.01;0.01
jml.cub;0.02;0.01
mesi.cub;0.01;0.00
moesi.cub;0.01;0.01
motivating.cub;0.01;0.01
mutex.cub;0.01;0.01
mux_sem.cub;0.01;0.01
peterson_two_proc.cub;0.01;0.01
ricart_abdulla.cub;ParseError;TO
ricart_abdulla_int1.cub;TO;TO
ricart_abdulla_int.cub;ParseError;TO
ricart_agrawala.cub;ParseError;TO
ricart_agrawala_int1.cub;ParseError;TO
sense_barrier.cub;0.24;0.53
swimming_pool.cub;TO;0.14
synapse.cub;0.01;0.01
szymanski_at.cub;TO;TO
szymanski_boleslaw_bool_at.cub;TO;TO
szymanski_boleslaw_bool_na.cub;TO;TO
szymanski_na2.cub;TO;TO
szymanski_na.cub;TO;TO
szymanski_talupur_at.cub;0.02;0.01
two-semaphores.cub;0.01;0.01
xerox_dragon.cub;0.01;0.01
